State,APMC's,Commodity,Min Price,Modal Price,Max Price,Date
UTTARAKHAND,HALDWANI,LADY FINGER,"1,000","1,000","1,000",10-09-2025
UTTARAKHAND,KASHIPUR,CAULIFLOWER,"1,800","1,800","2,200",10-09-2025
UTTARAKHAND,KICHHA,BITTER GOURD,"1,300","1,300","1,300",10-09-2025
UTTARAKHAND,KICHHA,RIDGE GOURD (TURAI),"1,300","1,300","1,300",10-09-2025
WEST BENGAL,KALNA SUB MARKET YARD,COLOCASIA VEGETABLE,"2,000","2,000","2,000",10-09-2025
ANDHRA PRADESH,PALAMANER,BEANS -CLUSTER,"4,000","4,000","5,000",10-09-2025
CHHATTISGARH,MUNGELI,CHANA (BENGAL GRAM),"4,850","5,510","5,510",10-09-2025
GUJARAT,BILIMORA,BRINJAL,"1,000","1,200","1,200",10-09-2025
HARYANA,FEROZPUR JHIRKA APMC,BRINJAL,"1,800","1,800","1,800",10-09-2025
HARYANA,HANSI,CAULIFLOWER,"4,000","4,000","6,000",10-09-2025
HARYANA,PANIPAT,SWEET CORN,600,600,700,10-09-2025
HARYANA,PANIPAT,LADY FINGER,500,550,700,10-09-2025
HARYANA,SIRSA,PINE APPLE,"5,000","5,500","5,800",10-09-2025
HARYANA,SIRSA,LEMON,"3,000","3,200","4,000",10-09-2025
HARYANA,TAURU APMC,CUCUMBER,"1,700","2,000","2,000",10-09-2025
HARYANA,THANESAR,GUAVA,"3,000","3,000","5,000",10-09-2025
HARYANA,THANESAR,CARROT,"1,500","2,000","2,000",10-09-2025
HARYANA,THANESAR,CAPSICUM,"4,000","4,000","7,000",10-09-2025
HIMACHAL PRADESH,KANGRA,CAULIFLOWER,"4,500","4,500","4,500",10-09-2025
HIMACHAL PRADESH,PALAMPUR,ONION,"2,500","2,500","2,500",10-09-2025
MADHYA PRADESH,KHANDWA,MAIZE YELLOW,"2,031","2,031","2,091",10-09-2025
MADHYA PRADESH,NEEMUCH,PEAS GREEN,"2,323","3,332","3,955",10-09-2025
MAHARASHTRA,BABHULGAON,CHANA,"4,560","5,550","5,550",10-09-2025
MAHARASHTRA,PARTUR,CHANA GRAM,"4,316","4,366","4,366",10-09-2025
ODISHA,RAIRAKHOL,BITTER GOURD,"3,000","3,000","3,000",10-09-2025
RAJASTHAN,AJMER F AND V,PINE APPLE,"3,600","3,604","3,606",10-09-2025
RAJASTHAN,AJMER F AND V,LEMON,"3,200","3,202","3,204",10-09-2025
RAJASTHAN,IKLERA,CHANA (BENGAL GRAM),"5,310","5,326","5,420",10-09-2025
RAJASTHAN,MALPURA,CHANA (BENGAL GRAM),"5,500","5,500","5,500",10-09-2025
RAJASTHAN,MERTA CITY,TARAMIRA,"5,450","5,450","5,450",10-09-2025
RAJASTHAN,OSIAN MATHANIA,BAJRA,"2,300","2,300","2,450",10-09-2025
RAJASTHAN,SIKAR,MOUSAMBI,"2,200","2,200","2,200",10-09-2025
RAJASTHAN,SRIGANGANAGAR F AND V,PEAS GREEN,"11,000","11,000","11,000",10-09-2025
RAJASTHAN,UDAIPUR F AND V,BROAD BEANS,"3,000","3,000","3,000",10-09-2025
TAMIL NADU,PANRUTI,BAJRA-LOCAL,"2,459","2,459","2,709",10-09-2025
TELANGANA,NARAYANPET,REDGRAM-RED,"5,809","5,809","5,809",10-09-2025
TELANGANA,TIRUMALGIRI,ARHAR WHOLE / TUR (RED GRAM),"5,608","5,608","5,860",10-09-2025
UTTAR PRADESH,BULANDSHAHAR,CHILLIES,"3,500","3,500","3,510",10-09-2025
UTTAR PRADESH,CHANDPUR,POTATO,"1,250","1,250","1,250",10-09-2025
UTTAR PRADESH,HAPUR,LADY FINGER,"1,300","1,300","1,300",10-09-2025
UTTAR PRADESH,HARDOI,CUCUMBER,"1,500","1,500","1,500",10-09-2025
UTTAR PRADESH,JALALABAD APMC,GROUND NUT,"5,500","5,500","5,500",10-09-2025
UTTARAKHAND,KASHIPUR,CUCUMBER,"1,500","1,500","1,500",10-09-2025
UTTARAKHAND,KASHIPUR,ONION,"1,600","1,600","1,700",10-09-2025
UTTARAKHAND,KHATIMA,BITTER GOURD,900,900,"1,600",10-09-2025
UTTARAKHAND,MANGLOUR,PUMPKIN,845,850,850,10-09-2025
UTTARAKHAND,ROORKEE,GREEN CHILLI,"1,500","1,500","1,500",10-09-2025
UTTARAKHAND,ROORKEE,CABBAGE,"1,000","1,000","1,000",10-09-2025
WEST BENGAL,GANGARAMPUR,POINTED GOURD (PARWAL),"3,520","3,520","3,520",10-09-2025
WEST BENGAL,KALNA SUB MARKET YARD,PAPAYA,"1,000","1,000","1,000",10-09-2025
WEST BENGAL,KALNA SUB MARKET YARD,ONION,"2,000","2,000","2,000",10-09-2025
GUJARAT,BILIMORA,CABBAGE,"1,400","1,500","1,500",10-09-2025
